(0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) (0.00000e+00+2.78030e-06i) (-2.78030e-06+0.00000e+00i) (0.00000e+00-2.78030e-06i) (2.78030e-06+0.00000e+00i) 
(5.47718e-07-5.56107e-06i) (5.48060e-06+1.09016e-06i) (-1.62210e-06+5.34736e-06i) (-5.16262e-06-2.13843e-06i) (2.63415e-06-4.92815e-06i) (4.64623e-06+3.10451e-06i) (-3.54497e-06+4.31956e-06i) (-3.95130e-06-3.95130e-06i) (4.31956e-06-3.54497e-06i) (3.10451e-06+4.64623e-06i) (-4.92815e-06+2.63415e-06i) (-2.13843e-06-5.16262e-06i) (5.34736e-06-1.62210e-06i) (1.09016e-06+5.48060e-06i) (-5.56107e-06+5.47717e-07i) (5.47234e-13-5.58798e-06i) (5.56107e-06+5.47718e-07i) (-1.09016e-06+5.48060e-06i) (-5.34736e-06-1.62210e-06i) (2.13843e-06-5.16262e-06i) (4.92815e-06+2.63415e-06i) (-3.10451e-06+4.64623e-06i) (-4.31956e-06-3.54497e-06i) (3.95130e-06-3.95130e-06i) (3.54497e-06+4.31956e-06i) (-4.64623e-06+3.10451e-06i) (-2.63415e-06-4.92815e-06i) (5.16262e-06-2.13843e-06i) (1.62210e-06+5.34736e-06i) (-5.48060e-06+1.09016e-06i) (-5.47717e-07-5.56107e-06i) (5.58798e-06+5.47234e-13i) (-5.47718e-07+5.56107e-06i) (-5.48060e-06-1.09016e-06i) (1.62210e-06-5.34736e-06i) (5.16262e-06+2.13843e-06i) (-2.63415e-06+4.92815e-06i) (-4.64623e-06-3.10451e-06i) (3.54497e-06-4.31956e-06i) (3.95130e-06+3.95130e-06i) (-4.31956e-06+3.54497e-06i) (-3.10451e-06-4.64623e-06i) (4.92815e-06-2.63415e-06i) (2.13843e-06+5.16262e-06i) (-5.34736e-06+1.62210e-06i) (-1.09016e-06-5.48060e-06i) (5.56107e-06-5.47717e-07i) (-5.47234e-13+5.58798e-06i) (-5.56107e-06-5.47718e-07i) (1.09016e-06-5.48060e-06i) (5.34736e-06+1.62210e-06i) (-2.13843e-06+5.16262e-06i) (-4.92815e-06-2.63415e-06i) (3.10451e-06-4.64623e-06i) (4.31956e-06+3.54497e-06i) (-3.95130e-06+3.95130e-06i) (-3.54497e-06-4.31956e-06i) (4.64623e-06-3.10451e-06i) (2.63415e-06+4.92815e-06i) (-5.16262e-06+2.13843e-06i) (-1.62210e-06-5.34736e-06i) (5.48060e-06-1.09016e-06i) (5.47717e-07+5.56107e-06i) (-5.58798e-06-5.47234e-13i) 
(-1.13599e-06+5.71101e-06i) (-5.37965e-06-2.22833e-06i) (3.23503e-06-4.84156e-06i) (4.11741e-06+4.11741e-06i) (-4.84156e-06+3.23503e-06i) (-2.22832e-06-5.37965e-06i) (5.71101e-06-1.13599e-06i) (-1.63255e-12+5.82289e-06i) (-5.71101e-06-1.13599e-06i) (2.22833e-06-5.37965e-06i) (4.84156e-06+3.23503e-06i) (-4.11741e-06+4.11741e-06i) (-3.23503e-06-4.84156e-06i) (5.37965e-06-2.22832e-06i) (1.13599e-06+5.71101e-06i) (-5.82289e-06-1.63255e-12i) (1.13599e-06-5.71101e-06i) (5.37965e-06+2.22833e-06i) (-3.23503e-06+4.84156e-06i) (-4.11741e-06-4.11741e-06i) (4.84156e-06-3.23503e-06i) (2.22832e-06+5.37965e-06i) (-5.71101e-06+1.13599e-06i) (1.63255e-12-5.82289e-06i) (5.71101e-06+1.13599e-06i) (-2.22833e-06+5.37965e-06i) (-4.84156e-06-3.23503e-06i) (4.11741e-06-4.11741e-06i) (3.23503e-06+4.84156e-06i) (-5.37965e-06+2.22832e-06i) (-1.13599e-06-5.71101e-06i) (5.82289e-06+1.63255e-12i) (-1.13599e-06+5.71101e-06i) (-5.37965e-06-2.22833e-06i) (3.23503e-06-4.84156e-06i) (4.11741e-06+4.11741e-06i) (-4.84156e-06+3.23503e-06i) (-2.22832e-06-5.37965e-06i) (5.71101e-06-1.13599e-06i) (-1.63255e-12+5.82289e-06i) (-5.71101e-06-1.13599e-06i) (2.22833e-06-5.37965e-06i) (4.84156e-06+3.23503e-06i) (-4.11741e-06+4.11741e-06i) (-3.23503e-06-4.84156e-06i) (5.37965e-06-2.22832e-06i) (1.13599e-06+5.71101e-06i) (-5.82289e-06-1.63255e-12i) (1.13599e-06-5.71101e-06i) (5.37965e-06+2.22833e-06i) (-3.23503e-06+4.84156e-06i) (-4.11741e-06-4.11741e-06i) (4.84156e-06-3.23503e-06i) (2.22832e-06+5.37965e-06i) (-5.71101e-06+1.13599e-06i) (1.63255e-12-5.82289e-06i) (5.71101e-06+1.13599e-06i) (-2.22833e-06+5.37965e-06i) (-4.84156e-06-3.23503e-06i) (4.11741e-06-4.11741e-06i) (3.23503e-06+4.84156e-06i) (-5.37965e-06+2.22832e-06i) (-1.13599e-06-5.71101e-06i) (5.82289e-06+1.63255e-12i) 
(1.86175e-06-6.13737e-06i) (5.33266e-06+3.56317e-06i) (-4.95773e-06+4.06870e-06i) (-2.45435e-06-5.92534e-06i) (6.38266e-06-6.28634e-07i) (-1.25122e-06+6.29030e-06i) (-5.65623e-06-3.02332e-06i) (4.53506e-06-4.53505e-06i) (3.02332e-06+5.65624e-06i) (-6.29030e-06+1.25122e-06i) (6.28639e-07-6.38265e-06i) (5.92534e-06+2.45436e-06i) (-4.06871e-06+4.95773e-06i) (-3.56317e-06-5.33266e-06i) (6.13737e-06-1.86175e-06i) (-2.71944e-12+6.41354e-06i) (-6.13737e-06-1.86175e-06i) (3.56317e-06-5.33266e-06i) (4.06870e-06+4.95773e-06i) (-5.92534e-06+2.45435e-06i) (-6.28634e-07-6.38266e-06i) (6.29030e-06+1.25122e-06i) (-3.02332e-06+5.65623e-06i) (-4.53505e-06-4.53506e-06i) (5.65624e-06-3.02332e-06i) (1.25122e-06+6.29030e-06i) (-6.38265e-06-6.28639e-07i) (2.45436e-06-5.92534e-06i) (4.95773e-06+4.06871e-06i) (-5.33266e-06+3.56317e-06i) (-1.86175e-06-6.13737e-06i) (6.41354e-06+2.71944e-12i) (-1.86175e-06+6.13737e-06i) (-5.33266e-06-3.56317e-06i) (4.95773e-06-4.06870e-06i) (2.45435e-06+5.92534e-06i) (-6.38266e-06+6.28634e-07i) (1.25122e-06-6.29030e-06i) (5.65623e-06+3.02332e-06i) (-4.53506e-06+4.53505e-06i) (-3.02332e-06-5.65624e-06i) (6.29030e-06-1.25122e-06i) (-6.28639e-07+6.38265e-06i) (-5.92534e-06-2.45436e-06i) (4.06871e-06-4.95773e-06i) (3.56317e-06+5.33266e-06i) (-6.13737e-06+1.86175e-06i) (2.71944e-12-6.41354e-06i) (6.13737e-06+1.86175e-06i) (-3.56317e-06+5.33266e-06i) (-4.06870e-06-4.95773e-06i) (5.92534e-06-2.45435e-06i) (6.28634e-07+6.38266e-06i) (-6.29030e-06-1.25122e-06i) (3.02332e-06-5.65623e-06i) (4.53505e-06+4.53506e-06i) (-5.65624e-06+3.02332e-06i) (-1.25122e-06-6.29030e-06i) (6.38265e-06+6.28639e-07i) (-2.45436e-06+5.92534e-06i) (-4.95773e-06-4.06871e-06i) (5.33266e-06-3.56317e-06i) (1.86175e-06+6.13737e-06i) (-6.41354e-06-2.71944e-12i) 
(-2.81407e-06+6.79375e-06i) (-5.19971e-06-5.19972e-06i) (6.79375e-06-2.81406e-06i) (-3.84681e-12+7.35350e-06i) (-6.79375e-06-2.81407e-06i) (5.19972e-06-5.19971e-06i) (2.81406e-06+6.79375e-06i) (-7.35350e-06-3.84681e-12i) (2.81407e-06-6.79375e-06i) (5.19971e-06+5.19972e-06i) (-6.79375e-06+2.81406e-06i) (3.84681e-12-7.35350e-06i) (6.79375e-06+2.81407e-06i) (-5.19972e-06+5.19971e-06i) (-2.81406e-06-6.79375e-06i) (7.35350e-06+3.84681e-12i) (-2.81407e-06+6.79375e-06i) (-5.19971e-06-5.19972e-06i) (6.79375e-06-2.81406e-06i) (-3.84681e-12+7.35350e-06i) (-6.79375e-06-2.81407e-06i) (5.19972e-06-5.19971e-06i) (2.81406e-06+6.79375e-06i) (-7.35350e-06-3.84681e-12i) (2.81407e-06-6.79375e-06i) (5.19971e-06+5.19972e-06i) (-6.79375e-06+2.81406e-06i) (3.84681e-12-7.35350e-06i) (6.79375e-06+2.81407e-06i) (-5.19972e-06+5.19971e-06i) (-2.81406e-06-6.79375e-06i) (7.35350e-06+3.84681e-12i) (-2.81407e-06+6.79375e-06i) (-5.19971e-06-5.19972e-06i) (6.79375e-06-2.81406e-06i) (-3.84681e-12+7.35350e-06i) (-6.79375e-06-2.81407e-06i) (5.19972e-06-5.19971e-06i) (2.81406e-06+6.79375e-06i) (-7.35350e-06-3.84681e-12i) (2.81407e-06-6.79375e-06i) (5.19971e-06+5.19972e-06i) (-6.79375e-06+2.81406e-06i) (3.84681e-12-7.35350e-06i) (6.79375e-06+2.81407e-06i) (-5.19972e-06+5.19971e-06i) (-2.81406e-06-6.79375e-06i) (7.35350e-06+3.84681e-12i) (-2.81407e-06+6.79375e-06i) (-5.19971e-06-5.19972e-06i) (6.79375e-06-2.81406e-06i) (-3.84681e-12+7.35350e-06i) (-6.79375e-06-2.81407e-06i) (5.19972e-06-5.19971e-06i) (2.81406e-06+6.79375e-06i) (-7.35350e-06-3.84681e-12i) (2.81407e-06-6.79375e-06i) (5.19971e-06+5.19972e-06i) (-6.79375e-06+2.81406e-06i) (3.84681e-12-7.35350e-06i) (6.79375e-06+2.81407e-06i) (-5.19972e-06+5.19971e-06i) (-2.81406e-06-6.79375e-06i) (7.35350e-06+3.84681e-12i) 
(4.07371e-06-7.62136e-06i) (4.80111e-06+7.18538e-06i) (-8.60016e-06+8.47037e-07i) (3.30707e-06-7.98396e-06i) (5.48228e-06+6.68019e-06i) (-8.47573e-06+1.68592e-06i) (2.50858e-06-8.26966e-06i) (6.11065e-06+6.11066e-06i) (-8.26966e-06+2.50857e-06i) (1.68593e-06-8.47572e-06i) (6.68018e-06+5.48229e-06i) (-7.98396e-06+3.30706e-06i) (8.47047e-07-8.60016e-06i) (7.18537e-06+4.80112e-06i) (-7.62137e-06+4.07370e-06i) (5.05207e-12-8.64177e-06i) (7.62136e-06+4.07371e-06i) (-7.18538e-06+4.80111e-06i) (-8.47037e-07-8.60016e-06i) (7.98396e-06+3.30707e-06i) (-6.68019e-06+5.48228e-06i) (-1.68592e-06-8.47573e-06i) (8.26966e-06+2.50858e-06i) (-6.11066e-06+6.11065e-06i) (-2.50857e-06-8.26966e-06i) (8.47572e-06+1.68593e-06i) (-5.48229e-06+6.68018e-06i) (-3.30706e-06-7.98396e-06i) (8.60016e-06+8.47047e-07i) (-4.80112e-06+7.18537e-06i) (-4.07370e-06-7.62137e-06i) (8.64177e-06+5.05207e-12i) (-4.07371e-06+7.62136e-06i) (-4.80111e-06-7.18538e-06i) (8.60016e-06-8.47037e-07i) (-3.30707e-06+7.98396e-06i) (-5.48228e-06-6.68019e-06i) (8.47573e-06-1.68592e-06i) (-2.50858e-06+8.26966e-06i) (-6.11065e-06-6.11066e-06i) (8.26966e-06-2.50857e-06i) (-1.68593e-06+8.47572e-06i) (-6.68018e-06-5.48229e-06i) (7.98396e-06-3.30706e-06i) (-8.47047e-07+8.60016e-06i) (-7.18537e-06-4.80112e-06i) (7.62137e-06-4.07370e-06i) (-5.05207e-12+8.64177e-06i) (-7.62136e-06-4.07371e-06i) (7.18538e-06-4.80111e-06i) (8.47037e-07+8.60016e-06i) (-7.98396e-06-3.30707e-06i) (6.68019e-06-5.48228e-06i) (1.68592e-06+8.47573e-06i) (-8.26966e-06-2.50858e-06i) (6.11066e-06-6.11065e-06i) (2.50857e-06+8.26966e-06i) (-8.47572e-06-1.68593e-06i) (5.48229e-06-6.68018e-06i) (3.30706e-06+7.98396e-06i) (-8.60016e-06-8.47047e-07i) (4.80112e-06-7.18537e-06i) (4.07370e-06+7.62137e-06i) (-8.64177e-06-5.05207e-12i) 
(-5.71264e-06+8.54956e-06i) (-3.93493e-06-9.49977e-06i) (1.00849e-05+2.00602e-06i) (-7.27081e-06+7.27080e-06i) (-2.00600e-06-1.00849e-05i) (9.49976e-06+3.93494e-06i) (-8.54957e-06+5.71263e-06i) (6.37133e-12-1.02825e-05i) (8.54956e-06+5.71264e-06i) (-9.49977e-06+3.93493e-06i) (2.00602e-06-1.00849e-05i) (7.27080e-06+7.27081e-06i) (-1.00849e-05+2.00600e-06i) (3.93494e-06-9.49976e-06i) (5.71263e-06+8.54957e-06i) (-1.02825e-05-6.37133e-12i) (5.71264e-06-8.54956e-06i) (3.93493e-06+9.49977e-06i) (-1.00849e-05-2.00602e-06i) (7.27081e-06-7.27080e-06i) (2.00600e-06+1.00849e-05i) (-9.49976e-06-3.93494e-06i) (8.54957e-06-5.71263e-06i) (-6.37133e-12+1.02825e-05i) (-8.54956e-06-5.71264e-06i) (9.49977e-06-3.93493e-06i) (-2.00602e-06+1.00849e-05i) (-7.27080e-06-7.27081e-06i) (1.00849e-05-2.00600e-06i) (-3.93494e-06+9.49976e-06i) (-5.71263e-06-8.54957e-06i) (1.02825e-05+6.37133e-12i) (-5.71264e-06+8.54956e-06i) (-3.93493e-06-9.49977e-06i) (1.00849e-05+2.00602e-06i) (-7.27081e-06+7.27080e-06i) (-2.00600e-06-1.00849e-05i) (9.49976e-06+3.93494e-06i) (-8.54957e-06+5.71263e-06i) (6.37133e-12-1.02825e-05i) (8.54956e-06+5.71264e-06i) (-9.49977e-06+3.93493e-06i) (2.00602e-06-1.00849e-05i) (7.27080e-06+7.27081e-06i) (-1.00849e-05+2.00600e-06i) (3.93494e-06-9.49976e-06i) (5.71263e-06+8.54957e-06i) (-1.02825e-05-6.37133e-12i) (5.71264e-06-8.54956e-06i) (3.93493e-06+9.49977e-06i) (-1.00849e-05-2.00602e-06i) (7.27081e-06-7.27080e-06i) (2.00600e-06+1.00849e-05i) (-9.49976e-06-3.93494e-06i) (8.54957e-06-5.71263e-06i) (-6.37133e-12+1.02825e-05i) (-8.54956e-06-5.71264e-06i) (9.49977e-06-3.93493e-06i) (-2.00602e-06+1.00849e-05i) (-7.27080e-06-7.27081e-06i) (1.00849e-05-2.00600e-06i) (-3.93494e-06+9.49976e-06i) (-5.71263e-06-8.54957e-06i) (1.02825e-05+6.37133e-12i) 
(7.79329e-06-9.49614e-06i) (2.39660e-06+1.20486e-05i) (-1.08341e-05-5.79094e-06i) (1.13495e-05-4.70112e-06i) (-3.56605e-06+1.17557e-05i) (-6.82497e-06-1.02143e-05i) (1.22255e-05+1.20411e-06i) (-8.68655e-06+8.68654e-06i) (-1.20410e-06-1.22255e-05i) (1.02143e-05+6.82498e-06i) (-1.17557e-05+3.56603e-06i) (4.70113e-06-1.13495e-05i) (5.79093e-06+1.08341e-05i) (-1.20486e-05-2.39662e-06i) (9.49615e-06-7.79328e-06i) (-7.83963e-12+1.22846e-05i) (-9.49614e-06-7.79329e-06i) (1.20486e-05-2.39660e-06i) (-5.79094e-06+1.08341e-05i) (-4.70112e-06-1.13495e-05i) (1.17557e-05+3.56605e-06i) (-1.02143e-05+6.82497e-06i) (1.20411e-06-1.22255e-05i) (8.68654e-06+8.68655e-06i) (-1.22255e-05+1.20410e-06i) (6.82498e-06-1.02143e-05i) (3.56603e-06+1.17557e-05i) (-1.13495e-05-4.70113e-06i) (1.08341e-05-5.79093e-06i) (-2.39662e-06+1.20486e-05i) (-7.79328e-06-9.49615e-06i) (1.22846e-05+7.83963e-12i) (-7.79329e-06+9.49614e-06i) (-2.39660e-06-1.20486e-05i) (1.08341e-05+5.79094e-06i) (-1.13495e-05+4.70112e-06i) (3.56605e-06-1.17557e-05i) (6.82497e-06+1.02143e-05i) (-1.22255e-05-1.20411e-06i) (8.68655e-06-8.68654e-06i) (1.20410e-06+1.22255e-05i) (-1.02143e-05-6.82498e-06i) (1.17557e-05-3.56603e-06i) (-4.70113e-06+1.13495e-05i) (-5.79093e-06-1.08341e-05i) (1.20486e-05+2.39662e-06i) (-9.49615e-06+7.79328e-06i) (7.83963e-12-1.22846e-05i) (9.49614e-06+7.79329e-06i) (-1.20486e-05+2.39660e-06i) (5.79094e-06-1.08341e-05i) (4.70112e-06+1.13495e-05i) (-1.17557e-05-3.56605e-06i) (1.02143e-05-6.82497e-06i) (-1.20411e-06+1.22255e-05i) (-8.68654e-06-8.68655e-06i) (1.22255e-05-1.20410e-06i) (-6.82498e-06+1.02143e-05i) (-3.56603e-06-1.17557e-05i) (1.13495e-05+4.70113e-06i) (-1.08341e-05+5.79093e-06i) (2.39662e-06-1.20486e-05i) (7.79328e-06+9.49615e-06i) (-1.22846e-05-7.83963e-12i) 
(-1.03676e-05+1.03676e-05i) (9.49117e-12-1.46620e-05i) (1.03676e-05+1.03676e-05i) (-1.46620e-05-9.49117e-12i) (1.03676e-05-1.03676e-05i) (-9.49117e-12+1.46620e-05i) (-1.03676e-05-1.03676e-05i) (1.46620e-05+9.49117e-12i) (-1.03676e-05+1.03676e-05i) (9.49117e-12-1.46620e-05i) (1.03676e-05+1.03676e-05i) (-1.46620e-05-9.49117e-12i) (1.03676e-05-1.03676e-05i) (-9.49117e-12+1.46620e-05i) (-1.03676e-05-1.03676e-05i) (1.46620e-05+9.49117e-12i) (-1.03676e-05+1.03676e-05i) (9.49117e-12-1.46620e-05i) (1.03676e-05+1.03676e-05i) (-1.46620e-05-9.49117e-12i) (1.03676e-05-1.03676e-05i) (-9.49117e-12+1.46620e-05i) (-1.03676e-05-1.03676e-05i) (1.46620e-05+9.49117e-12i) (-1.03676e-05+1.03676e-05i) (9.49117e-12-1.46620e-05i) (1.03676e-05+1.03676e-05i) (-1.46620e-05-9.49117e-12i) (1.03676e-05-1.03676e-05i) (-9.49117e-12+1.46620e-05i) (-1.03676e-05-1.03676e-05i) (1.46620e-05+9.49117e-12i) (-1.03676e-05+1.03676e-05i) (9.49117e-12-1.46620e-05i) (1.03676e-05+1.03676e-05i) (-1.46620e-05-9.49117e-12i) (1.03676e-05-1.03676e-05i) (-9.49117e-12+1.46620e-05i) (-1.03676e-05-1.03676e-05i) (1.46620e-05+9.49117e-12i) (-1.03676e-05+1.03676e-05i) (9.49117e-12-1.46620e-05i) (1.03676e-05+1.03676e-05i) (-1.46620e-05-9.49117e-12i) (1.03676e-05-1.03676e-05i) (-9.49117e-12+1.46620e-05i) (-1.03676e-05-1.03676e-05i) (1.46620e-05+9.49117e-12i) (-1.03676e-05+1.03676e-05i) (9.49117e-12-1.46620e-05i) (1.03676e-05+1.03676e-05i) (-1.46620e-05-9.49117e-12i) (1.03676e-05-1.03676e-05i) (-9.49117e-12+1.46620e-05i) (-1.03676e-05-1.03676e-05i) (1.46620e-05+9.49117e-12i) (-1.03676e-05+1.03676e-05i) (9.49117e-12-1.46620e-05i) (1.03676e-05+1.03676e-05i) (-1.46620e-05-9.49117e-12i) (1.03676e-05-1.03676e-05i) (-9.49117e-12+1.46620e-05i) (-1.03676e-05-1.03676e-05i) (1.46620e-05+9.49117e-12i) 
(1.34757e-05-1.10592e-05i) (-3.40098e-06+1.70978e-05i) (-8.21775e-06-1.53744e-05i) (1.61058e-05+6.67125e-06i) (-1.66821e-05+5.06046e-06i) (9.68515e-06-1.44948e-05i) (1.70870e-06+1.73488e-05i) (-1.23268e-05-1.23268e-05i) (1.73488e-05+1.70872e-06i) (-1.44948e-05+9.68513e-06i) (5.06048e-06-1.66821e-05i) (6.67123e-06+1.61058e-05i) (-1.53743e-05-8.21777e-06i) (1.70978e-05-3.40096e-06i) (-1.10593e-05+1.34757e-05i) (1.13595e-11-1.74328e-05i) (1.10592e-05+1.34757e-05i) (-1.70978e-05-3.40098e-06i) (1.53744e-05-8.21775e-06i) (-6.67125e-06+1.61058e-05i) (-5.06046e-06-1.66821e-05i) (1.44948e-05+9.68515e-06i) (-1.73488e-05+1.70870e-06i) (1.23268e-05-1.23268e-05i) (-1.70872e-06+1.73488e-05i) (-9.68513e-06-1.44948e-05i) (1.66821e-05+5.06048e-06i) (-1.61058e-05+6.67123e-06i) (8.21777e-06-1.53743e-05i) (3.40096e-06+1.70978e-05i) (-1.34757e-05-1.10593e-05i) (1.74328e-05+1.13595e-11i) (-1.34757e-05+1.10592e-05i) (3.40098e-06-1.70978e-05i) (8.21775e-06+1.53744e-05i) (-1.61058e-05-6.67125e-06i) (1.66821e-05-5.06046e-06i) (-9.68515e-06+1.44948e-05i) (-1.70870e-06-1.73488e-05i) (1.23268e-05+1.23268e-05i) (-1.73488e-05-1.70872e-06i) (1.44948e-05-9.68513e-06i) (-5.06048e-06+1.66821e-05i) (-6.67123e-06-1.61058e-05i) (1.53743e-05+8.21777e-06i) (-1.70978e-05+3.40096e-06i) (1.10593e-05-1.34757e-05i) (-1.13595e-11+1.74328e-05i) (-1.10592e-05-1.34757e-05i) (1.70978e-05+3.40098e-06i) (-1.53744e-05+8.21775e-06i) (6.67125e-06-1.61058e-05i) (5.06046e-06+1.66821e-05i) (-1.44948e-05-9.68515e-06i) (1.73488e-05-1.70870e-06i) (-1.23268e-05+1.23268e-05i) (1.70872e-06-1.73488e-05i) (9.68513e-06+1.44948e-05i) (-1.66821e-05-5.06048e-06i) (1.61058e-05-6.67123e-06i) (-8.21777e-06+1.53743e-05i) (-3.40096e-06-1.70978e-05i) (1.34757e-05+1.10593e-05i) (-1.74328e-05-1.13595e-11i) 
